,角度X/度,角度Y/度,高度H/米,角速度X/弧度每秒,角速度Y/弧度每秒,平动速度H/米每秒,角加速度X/弧度每二次方秒,角加速度Y/弧度每二次方秒,平动加速度H/弧度每二次方秒
0.031000000000000097,-0.025352,-1.231462,-0.033999,-0.028205,-0.280528,1.029134,-0.557615,-0.557744,3.610263
0.0320000000000001,-0.026968,-1.247535,-0.03297,-0.028907,-0.281229,1.032744,-0.54074,-0.540868,3.501023
0.0330000000000001,-0.028624,-1.263648,-0.031937,-0.029591,-0.281914,1.036245,-0.523804,-0.523932,3.391397
0.0340000000000001,-0.03032,-1.279801,-0.030901,-0.03026,-0.282583,1.039636,-0.506811,-0.506938,3.281395
0.0350000000000001,-0.032054,-1.295992,-0.029862,-0.030911,-0.283235,1.042918,-0.489762,-0.489888,3.171029
0.0360000000000001,-0.033825,-1.31222,-0.028819,-0.031547,-0.28387,1.046089,-0.472659,-0.472783,3.060312
0.0370000000000001,-0.035632,-1.328484,-0.027773,-0.032165,-0.284489,1.049149,-0.455503,-0.455626,2.949254
0.0380000000000001,-0.037475,-1.344784,-0.026723,-0.032767,-0.28509,1.052098,-0.438297,-0.438418,2.837868
0.039000000000000104,-0.039353,-1.361119,-0.025671,-0.033352,-0.285676,1.054936,-0.421042,-0.421161,2.726166
0.040000000000000105,-0.041264,-1.377487,-0.024616,-0.03392,-0.286244,1.057663,-0.403741,-0.403858,2.61416
0.041000000000000106,-0.043207,-1.393887,-0.023559,-0.034471,-0.286795,1.060277,-0.386394,-0.386509,2.501861
0.04200000000000011,-0.045182,-1.41032,-0.022498,-0.035006,-0.28733,1.062779,-0.369005,-0.369117,2.389282
0.04300000000000011,-0.047188,-1.426782,-0.021436,-0.035523,-0.287847,1.065168,-0.351574,-0.351683,2.276435
0.04400000000000011,-0.049223,-1.443275,-0.02037,-0.036023,-0.288347,1.067444,-0.334104,-0.33421,2.163331
0.04500000000000011,-0.051287,-1.459796,-0.019303,-0.036506,-0.28883,1.069608,-0.316596,-0.316699,2.049983
0.04600000000000011,-0.053379,-1.476345,-0.018233,-0.036972,-0.289296,1.071658,-0.299053,-0.299152,1.936403
0.04700000000000011,-0.055497,-1.49292,-0.017162,-0.03742,-0.289745,1.073594,-0.281476,-0.281571,1.822603
0.04800000000000011,-0.057641,-1.509521,-0.016088,-0.037851,-0.290176,1.075417,-0.263867,-0.263958,1.708595
0.04900000000000011,-0.05981,-1.526147,-0.015013,-0.038265,-0.29059,1.077125,-0.246228,-0.246315,1.594392
0.050000000000000114,-0.062002,-1.542797,-0.013936,-0.038662,-0.290986,1.07872,-0.228561,-0.228644,1.480006
0.051000000000000115,-0.064217,-1.559469,-0.012857,-0.039041,-0.291366,1.0802,-0.210868,-0.210946,1.365449
0.052000000000000116,-0.066454,-1.576163,-0.011777,-0.039402,-0.291727,1.081565,-0.193151,-0.193224,1.250732
0.053000000000000116,-0.068712,-1.592878,-0.010695,-0.039746,-0.292071,1.082816,-0.175411,-0.175479,1.13587
0.05400000000000012,-0.070989,-1.609612,-0.009612,-0.040073,-0.292398,1.083952,-0.157651,-0.157713,1.020873
0.05500000000000012,-0.073285,-1.626365,-0.008528,-0.040381,-0.292707,1.084972,-0.139872,-0.139929,0.905755
0.05600000000000012,-0.075599,-1.643136,-0.007443,-0.040673,-0.292998,1.085878,-0.122077,-0.122127,0.790527
0.05700000000000012,-0.077929,-1.659924,-0.006357,-0.040946,-0.293271,1.086669,-0.104267,-0.104311,0.675202
0.05800000000000012,-0.080275,-1.676727,-0.005271,-0.041202,-0.293527,1.087344,-0.086444,-0.086482,0.559793
0.05900000000000012,-0.082636,-1.693545,-0.004183,-0.04144,-0.293765,1.087904,-0.068611,-0.068641,0.444311
0.06000000000000012,-0.08501,-1.710376,-0.003096,-0.04166,-0.293986,1.088348,-0.050768,-0.050791,0.328769
0.061000000000000124,-0.087397,-1.72722,-0.002007,-0.041863,-0.294188,1.088677,-0.032919,-0.032934,0.21318
0.062000000000000124,-0.089796,-1.744076,-0.000919,-0.042048,-0.294373,1.08889,-0.015064,-0.015071,0.097555
0.06300000000000013,-0.092205,-1.760943,0.00017,-0.042215,-0.29454,1.088988,0.002794,0.002795,-0.018091
0.06400000000000013,-0.094624,-1.777818,0.001259,-0.042364,-0.294689,1.088969,0.020653,0.020663,-0.133749
0.06500000000000013,-0.097051,-1.794703,0.002348,-0.042495,-0.29482,1.088836,0.038511,0.03853,-0.249403
0.06600000000000013,-0.099486,-1.811595,0.003437,-0.042608,-0.294934,1.088586,0.056367,0.056395,-0.365044
0.06700000000000013,-0.101927,-1.828493,0.004526,-0.042704,-0.295029,1.088221,0.074218,0.074256,-0.480657
0.06800000000000013,-0.104374,-1.845397,0.005614,-0.042781,-0.295107,1.087741,0.092063,0.092111,-0.596231
0.06900000000000013,-0.106825,-1.862306,0.006702,-0.042841,-0.295166,1.087144,0.109899,0.109958,-0.711752
0.07000000000000013,-0.109279,-1.879217,0.007789,-0.042883,-0.295208,1.086433,0.127725,0.127794,-0.82721
0.07100000000000013,-0.111736,-1.896132,0.008875,-0.042907,-0.295232,1.085605,0.145539,0.145619,-0.942591
0.07200000000000013,-0.114195,-1.913047,0.009961,-0.042912,-0.295237,1.084663,0.163339,0.163431,-1.057882
0.07300000000000013,-0.116653,-1.929963,0.011046,-0.0429,-0.295225,1.083605,0.181123,0.181226,-1.173072
0.07400000000000014,-0.119111,-1.946878,0.012129,-0.04287,-0.295195,1.082432,0.198889,0.199004,-1.288148
0.07500000000000014,-0.121568,-1.963792,0.013212,-0.042822,-0.295147,1.081144,0.216635,0.216763,-1.403098
0.07600000000000014,-0.124021,-1.980702,0.014293,-0.042757,-0.295081,1.079741,0.234359,0.2345,-1.517909
